# GENERATED by hc-conformance --write-coverage-traceability. Obligations a language-
# family grammar could pick up by growing an existing fixture, keyed on WITNESS (a real
# word-level counterfactual delta) never mere presence -- see FoldInCategory's own doc
# comments for exactly what each category claims and does not claim.
#   EdgeCaseOnly                     only a fabricated edge case witnesses this; folding
#                                    it in needs new grammar content
#   PresentInLanguageGrammarAlready  surface layer only: a language grammar already
#                                    structurally contains it; new WORDS may be enough
#   NeverWitnessed                   interface layer only: present somewhere, witnessed
#                                    nowhere -- not a fold-in target, a named gap
layer	obligation	category	detail
Surface	dtd:element/AssignedFootFeatures	PresentInLanguageGrammarAlready	recorded best evidence: edge-cases/compounding-breadth; also structurally present in a languages/* grammar
Surface	dtd:element/ExcludedEnvironments	EdgeCaseOnly	recorded best evidence: edge-cases/feature-system-breadth; no languages/* grammar contains this surface at all
Surface	dtd:element/HeadRequiredFootFeatures	EdgeCaseOnly	recorded best evidence: edge-cases/compounding-breadth; no languages/* grammar contains this surface at all
Surface	dtd:element/HeadRequiredHeadFeatures	EdgeCaseOnly	recorded best evidence: edge-cases/compounding-breadth; no languages/* grammar contains this surface at all
Surface	dtd:element/NonHeadRequiredFootFeatures	EdgeCaseOnly	recorded best evidence: edge-cases/compounding-breadth; no languages/* grammar contains this surface at all
Surface	dtd:element/NonHeadRequiredHeadFeatures	EdgeCaseOnly	recorded best evidence: edge-cases/compounding-breadth; no languages/* grammar contains this surface at all
Surface	dtd:element/PhoneticSequence	PresentInLanguageGrammarAlready	recorded best evidence: edge-cases/alpha-variable-name-collision; also structurally present in a languages/* grammar
Surface	dtd:element/RequiredFootFeatures	PresentInLanguageGrammarAlready	recorded best evidence: edge-cases/feature-gating-breadth; also structurally present in a languages/* grammar
Surface	dtd:element/RequiredHeadFeatures	PresentInLanguageGrammarAlready	recorded best evidence: edge-cases/feature-gating-breadth; also structurally present in a languages/* grammar
Surface	dtd:element/Segments	EdgeCaseOnly	recorded best evidence: edge-cases/strrep-identity; no languages/* grammar contains this surface at all
Surface	dtd:element/SimpleContext	PresentInLanguageGrammarAlready	recorded best evidence: edge-cases/alpha-variable-name-collision; also structurally present in a languages/* grammar
Surface	dtd:enum/AffixTemplate/final/false	EdgeCaseOnly	recorded best evidence: edge-cases/morphotactic-attribute-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/AffixTemplate/final/true	EdgeCaseOnly	recorded best evidence: edge-cases/loader-isactive-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/AffixTemplate/isActive/no	EdgeCaseOnly	recorded best evidence: edge-cases/loader-isactive-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/AffixTemplate/isActive/yes	EdgeCaseOnly	recorded best evidence: edge-cases/loader-isactive-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/Allomorph/isActive/no	EdgeCaseOnly	recorded best evidence: edge-cases/loader-isactive-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/Allomorph/isActive/yes	EdgeCaseOnly	recorded best evidence: edge-cases/loader-isactive-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/Allomorph/isBound/false	EdgeCaseOnly	recorded best evidence: edge-cases/loader-isactive-breadth; no languages/* grammar contains this surface at all
