# GENERATED by hc-conformance --write-interaction-chains. One row per (writer edge, payload
# type, reader edge) at each ChainJunction -- a payload type reached by both a write- and a
# read-direction declared interface, per SemanticInterfaceDirection's engine-checked judgment
# of what each interface does (NOT interface-inventory.tsv's own name-prefix heuristic, which
# a real field grammar disproved -- see SemanticInterfaceDirection's doc comment). payload_type
# also covers interfaces no fixture exercises yet (see UnexercisedInterfaceDeclaredPayloadTypes),
# so an entirely-untested reader still appears in its own denominator instead of silently
# vanishing. exercising_fixtures lists every fixture where the SAME id appears in both the
# writer's and the reader's attribute values; hazardous means at least one of those fixtures
# also has a MutatingConstructs entry (today: an overwrite-type
# MorphologicalPhonologicalRuleFeatureGroup) covering that id.
writer_element	writer_attribute	payload_type	reader_element	reader_attribute	exercised	exercising_fixtures	hazardous
CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	headProdRestrictionsMprFeatures	no		no
CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	nonHeadProdRestrictionsMprFeatures	no		no
CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	excludedMPRFeatures	no		no
CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	requiredMPRFeatures	no		no
CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	excludedMPRFeatures	no		no
CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	requiredMPRFeatures	no		no
CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	PhonologicalSubrule	excludedMPRFeatures	no		no
CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	PhonologicalSubrule	requiredMPRFeatures	no		no
LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	headProdRestrictionsMprFeatures	yes	languages/fusional-realizational-morphology	no
LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	nonHeadProdRestrictionsMprFeatures	no		no
LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	excludedMPRFeatures	yes	languages/fusional-realizational-morphology	no
LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	requiredMPRFeatures	yes	languages/fusional-realizational-morphology	no
LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	excludedMPRFeatures	yes	edge-cases/mpr-gated-exception	no
LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	requiredMPRFeatures	yes	languages/fusional-realizational-morphology,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-extension-slot-ordering	yes
LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	PhonologicalSubrule	excludedMPRFeatures	no		no
