# GENERATED by hc-conformance --write-interface-inventory. One row per IDREF/IDREFS attribute
# declared anywhere in HermitCrabInput.dtd -- a fixed denominator that moves only when the DTD
# changes, never when a fixture is added. observed_target_types is the set of element types the
# attribute's IDREF(S) tokens actually resolved to, across every fixture's own id-to-element map;
# empty when not present. direction (write/read/ref) is SemanticInterfaceDirection's engine-
# checked judgment, not a naming-convention guess -- see its doc comment for what each entry means.
# present is STRUCTURAL ONLY -- the attribute resolves to a real IDREF somewhere in fixtures
# (comma-joined, sorted). It is NOT evidence the interface does anything: an attribute can be
# present and inert. See conformance/interface-witness.tsv for the severance-tested claim.
element	attribute	ref_kind	observed_target_types	present	direction	fixtures
AffixTemplate	requiredPartsOfSpeech	IdRefs	PartOfSpeech	yes	Read	edge-cases/deep-optional-affix-nesting,edge-cases/diacritic-segments,edge-cases/loader-isactive-breadth,edge-cases/morphotactic-attribute-breadth,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony
AffixTemplate	requiredSubcategorizedRules	IdRefs		no	Read	-
Allomorph	stemName	IdRef	StemName	yes	Write	edge-cases/stem-name-restricted-root-allomorph,languages/fusional-realizational-morphology,languages/suffixing-extension-slot-ordering,languages/templatic-root-modification
AllomorphCoOccurrenceRule	otherAllomorphs	IdRefs	Allomorph,MorphologicalSubrule	yes	Ref	edge-cases/morphotactic-attribute-breadth,languages/suffixing-evidential-adjacency-chain
AllomorphCoOccurrenceRule	primaryAllomorph	IdRef	Allomorph,MorphologicalSubrule	yes	Ref	edge-cases/morphotactic-attribute-breadth,languages/suffixing-evidential-adjacency-chain
AlphaVariable	variableFeature	IdRef	VariableFeature	yes	Ref	edge-cases/alpha-variable-name-collision,edge-cases/feature-system-breadth,languages/suffixing-vowel-harmony
BoundaryMarker	boundary	IdRef	BoundaryDefinition	yes	Ref	languages/metathesis-phase-isolation
CompoundingRule	headPartsOfSpeech	IdRefs	PartOfSpeech	yes	Read	edge-cases/compounding-breadth,languages/fusional-realizational-morphology,languages/polysynthetic-stratal-derivation-chain
CompoundingRule	headProdRestrictionsMprFeatures	IdRefs	MorphologicalPhonologicalRuleFeature	yes	Read	languages/fusional-realizational-morphology
CompoundingRule	headSubcategorizedRules	IdRefs		no	Read	-
